# Una scusa per riga.
# Usa i tag [1], [2], [3] per indicare il livello di credibilità:
# [1] Plausibile • [2] Molto plausibile • [3] Quasi inattaccabile
# Ogni riga è già pronta da inviare: inizia con "Buongiorno capo,".
# Le righe vuote e quelle che iniziano con # vengono ignorate.

[1] Buongiorno capo, purtroppo mi sono svegliato con febbre e dolori. Oggi non riesco a venire in ufficio, resto a riposo.
[1] Buongiorno capo, stanotte ho avuto un forte malessere e non sono in condizioni di lavorare oggi. Mi scuso per il preavviso.
[1] Buongiorno capo, ho un’emicrania molto forte e faccio fatica a stare in piedi. Oggi devo fermarmi.
[1] Buongiorno capo, ho un’influenza improvvisa con brividi e febbre. Oggi resto a casa per riprendermi.
[1] Buongiorno capo, ho nausea e problemi gastrointestinali. Oggi purtroppo non riesco a essere presente.
[1] Buongiorno capo, mi sono svegliato con la voce completamente KO e forte mal di gola. Oggi devo restare a riposo.
[1] Buongiorno capo, ho tosse e spossatezza e non sono lucido. Oggi non riesco a venire.
[1] Buongiorno capo, mi sono alzato con giramenti di testa e pressione bassa. Preferisco non rischiare e restare a casa.
[1] Buongiorno capo, ho un dolore alla schiena improvviso e mi muovo male. Oggi devo riposare.
[1] Buongiorno capo, ho un torcicollo molto forte e guidare in sicurezza è complicato. Oggi resto a casa.
[1] Buongiorno capo, ho avuto una notte in bianco e stamattina sto male. Oggi non riesco a lavorare.
[1] Buongiorno capo, non sto bene e devo sentire il medico oggi. Mi scuso, oggi non riesco a venire.
[1] Buongiorno capo, ho una reazione allergica importante e devo gestirla. Oggi resto a casa.
[1] Buongiorno capo, ho un forte mal di testa con sensibilità alla luce. Oggi devo riposare.
[1] Buongiorno capo, ho un dolore ai denti che non mi lascia tregua. Oggi devo fermarmi e sistemare la cosa.
[1] Buongiorno capo, mi sono svegliato febbricitante e molto spossato. Oggi non riesco a essere operativo.
[1] Buongiorno capo, ho dolori muscolari e stanchezza forte. Oggi resto a riposo e riprendo domani.
[1] Buongiorno capo, ho avuto un calo di pressione e mi sento debole. Oggi devo restare a casa.
[1] Buongiorno capo, stamattina non sto bene e preferisco non peggiorare. Oggi non riesco a venire.
[1] Buongiorno capo, ho un malessere generale e febbricola. Oggi resto a casa per recuperare.
[1] Buongiorno capo, mi sento improvvisamente molto male e non riesco a muovermi da casa. Oggi non riesco a esserci.
[1] Buongiorno capo, ho un problema di stomaco e devo restare vicino a casa. Mi scuso, oggi non vengo.
[1] Buongiorno capo, ho la schiena bloccata e faccio fatica a camminare. Oggi devo stare a riposo.
[1] Buongiorno capo, ho avuto un blocco alla schiena durante la notte e oggi mi muovo male. Oggi non riesco a venire.
[1] Buongiorno capo, ho un forte mal di gola e febbricola. Oggi resto a casa.
[1] Buongiorno capo, ho un’infiammazione ai seni nasali e forte mal di testa. Oggi devo fermarmi.
[1] Buongiorno capo, ho un imprevisto familiare urgente e devo occuparmene stamattina. Mi scuso, oggi non riesco a esserci.
[1] Buongiorno capo, devo assistere un familiare che non sta bene e non posso lasciarlo solo. Oggi devo assentarmi.
[1] Buongiorno capo, mio figlio non sta bene e devo restare con lui oggi. Mi scuso per il disagio.
[1] Buongiorno capo, ho un imprevisto con un familiare che richiede la mia presenza immediata. Oggi non riesco a venire.
[1] Buongiorno capo, ho un’urgenza domestica e devo risolverla stamattina. Oggi non potrò esserci.
[1] Buongiorno capo, ho un problema in casa e devo essere presente per sistemarlo. Oggi non riesco a venire.
[1] Buongiorno capo, mi sono accorto di una perdita d’acqua e devo intervenire subito. Oggi non potrò esserci.
[1] Buongiorno capo, ho perso le chiavi e sto gestendo la situazione. Oggi rischio di non riuscire a venire.
[1] Buongiorno capo, ho smarrito dei documenti e devo occuparmene con urgenza. Oggi devo assentarmi.
[1] Buongiorno capo, la mia auto non parte e non ho modo di raggiungere l’ufficio. Oggi non riesco a venire.
[1] Buongiorno capo, ho una gomma a terra e sto risolvendo, ma non credo di riuscire a venire oggi. Mi scuso.
[1] Buongiorno capo, ho un problema con l’auto e devo sistemarlo oggi. Oggi non potrò esserci.
[1] Buongiorno capo, c’è un blackout/guasto in zona e sto aspettando che rientri. Oggi potrei non riuscire a lavorare regolarmente.
[1] Buongiorno capo, ho un problema con la connessione e oggi non riesco a essere operativo. Mi scuso.
[1] Buongiorno capo, devo aspettare una consegna con firma e non posso allontanarmi. Oggi non riesco a venire.
[1] Buongiorno capo, il corriere passa solo oggi e devo essere presente per firmare. Oggi devo assentarmi.
[1] Buongiorno capo, ho perso il portafoglio e devo bloccare carte e fare denuncia. Oggi non riesco a venire.
[1] Buongiorno capo, devo passare dal medico/farmacia per una cosa urgente. Oggi non riesco a essere presente.
[1] Buongiorno capo, ho una commissione urgente che devo chiudere stamattina. Oggi non riesco a venire.
[1] Buongiorno capo, mi scuso per il preavviso, ma oggi non sono in condizioni di lavorare. Recupero e riparto domani.
[1] Buongiorno capo, ho bisogno di un giorno di recupero perché non sto bene. Domani conto di essere operativo.
[1] Buongiorno capo, oggi devo restare a casa per riprendermi: non riesco a essere presente in ufficio.
[1] Buongiorno capo, purtroppo oggi non riesco a venire per malessere improvviso. Mi scuso e vi aggiorno per domani.
[1] Buongiorno capo, non sto bene e preferisco fermarmi oggi per rientrare in forma domani. Grazie.

[2] Buongiorno capo, purtroppo mi sono svegliato con un forte stato influenzale/febbre. Oggi non potrò venire al lavoro; se necessario invierò il certificato medico.
[2] Buongiorno capo, mi scuso per il preavviso, ma ho un’emergenza in casa (allagamento/idraulico) e devo restare per risolvere. Oggi non potrò esserci.
[2] Buongiorno capo, ho un’urgenza medica non rimandabile questa mattina. Oggi non riuscirò a venire a lavorare; vi terrò aggiornati per domani.
[2] Buongiorno capo, devo assentarmi per un imprevisto con mio figlio/familiare che richiede la mia presenza urgente. Mi scuso per il disagio.
[2] Buongiorno capo, la mia auto non parte e non ho modo di raggiungere l’ufficio. Sto cercando una soluzione, ma non credo di riuscire a venire oggi.
[2] Buongiorno capo, ho avuto un blocco alla schiena questa notte e non riesco a muovermi bene. Oggi devo restare a riposo.
[2] Buongiorno capo, ho un virus gastrointestinale che mi impedisce di muovermi da casa. Oggi purtroppo non riuscirò a lavorare.
[2] Buongiorno capo, ho una visita medica già fissata questa mattina e non riesco a spostarla. Oggi non potrò essere presente.
[2] Buongiorno capo, ho un appuntamento dal dentista preso da tempo e oggi devo andarci. Mi scuso, oggi non riesco a venire.
[2] Buongiorno capo, devo fare degli esami/analisi questa mattina e ho l’orario già prenotato. Oggi non riuscirò a essere presente.
[2] Buongiorno capo, ho una terapia/controllo programmato oggi e non posso saltarlo. Oggi devo assentarmi.
[2] Buongiorno capo, devo ritirare dei referti oggi e gli orari sono solo al mattino. Oggi non riesco a essere presente.
[2] Buongiorno capo, devo aspettare il tecnico a casa (fascia oraria stretta) e devo essere presente. Oggi non potrò venire.
[2] Buongiorno capo, ho l’intervento del tecnico per Internet/telefono e devo restare in casa. Oggi non riesco a venire.
[2] Buongiorno capo, oggi ho il controllo della caldaia/manutenzione e devo essere presente. Oggi devo assentarmi.
[2] Buongiorno capo, ho un guasto domestico e oggi viene l’idraulico/elettricista. Oggi non potrò essere in ufficio.
[2] Buongiorno capo, c’è una perdita d’acqua in casa e devo gestire l’intervento oggi. Mi scuso, oggi non riesco a venire.
[2] Buongiorno capo, ho un guasto all’auto e sto aspettando assistenza/meccanico. Oggi non riesco a venire.
[2] Buongiorno capo, ho avuto una gomma bucata e sto risolvendo con il gommista. Oggi non credo di riuscire a essere presente.
